feature,coefficient,abs_coef_rank
PM25_mean_ugm3_lag1,4.5516376913887875,1.0
TMIN_C,-0.9199243420249896,2.0
TMAX_C,0.818259192050089,3.0
AWND,-0.8161640256802833,4.0
workplaces,-0.34734616296072396,5.0
PRCP_mm,-0.32249965271459935,6.0
WT08,0.27746507977052204,7.0
WT02,0.18625299009693652,8.0
WT01,0.15587186305140754,9.0
grocery_pharmacy,0.10278368258485848,10.0
parks,-0.09974331073284759,11.0
transit,0.09652791104841185,12.0
residential,-0.05369531344413758,13.0
TAVG_C,0.04610185802488331,14.0
retail_recreation,0.04344076345329828,15.0
